REF SUJOYA;DESCRIPCION;PRECIO REFLEJADO EN CATALOGO
AS-40763-BK;REBANADORA ESTILO PROFESIONAL NEGRA KALORIK;180
EBS-40398-BK;BALANZA DIGITAL KALORI NEGRA CON MEDIDOR DE GRASA CORPORAL;60
FHG-43302-SS;PANINI ELÉCTRICA ACERO INOX KALORIK;156
HFD-44220-W;DESHIDRATADOR DE ALIMENTOS BLANCO KALORIK;96
AFO-46110;HORNO FREIDOR DE 21 LITROS KALORIK;240
AFO-46894-BKSS;HORNO FREIDOR DE AIRE DE 12 LTS ACERO INOX.;156
AFO-46045-SS;HORNO FREIDOR DE AIRE 25L MULTIFUNCION DIGITAL DISEÑO PUERTAS FRANCESAS;300
231;PLATERA DE 3 NIVELES;15
235;PORTA CHAMPU YUMBO;12
232;PORTA CHAMPU;12
233;PESO DE BAÑO DIGITAL SUJOYA GLASS;24
223;"CAJA DE HERRAMIENTAS 16""";12
225;TALADRO TIPO MARTILLO;96
224;REGLETA DE 6 TOMAS;18
1516-3400;ORGANIZADOR DE CALZADO;24
226;SET DE JARDIN CON BOLSO;18
215;COLCHON INFLABLE GRANDE;48
217;SILLA DIRECTOR PLEGABLE;24
337;TABURETE DE MADERA PLEGABLE;12
216;PARRILLERA DOBLE;12
221;TABURETE PLEGABLE;12
222;PARRILLERA A CARBON CON PATAS;36
DELUXE41AQ;CAVA DELUX TUNDRA 41 LITROS TIPO MALETA;108
DELUXE41AZ;CAVA DELUX TUNDRA 41 LITROS TIPO MALETA;108
DELUXE41G;CAVA DELUX TUNDRA 41 LITROS TIPO MALETA GRIS CON NARANJA;108
DELUXE20G;CAVA DELUX TUNDRA 20 LITROS (GRIS);60
DELUXE8AZ;CAVA DELUX TUNDRA 8 LITROS (AZUL);30
TUNDRA14;CAVA TUNDRA CLASICA DE 14 LITROS;42
TUNDRA30;CAVA TUNDRA CLASICA DE 30 LITROS;60
CAIMAN50AZ;CAVA TUNDRA MODELO CAIMAN 50 LITROS;120
CAIMAN50NJ;CAVA TUNDRA MODELO CAIMAN 50 LITROS;120
TUNDRA51;TERMO TUNDRA DE 51 LITROS;84
TUNDRA38;TERMO TUNDRA DE 38 LITROS (10 GALONES);72
TUNDRA9;TERMO TUNDRA DE 9 LITROS;36
TUNDRA7.5;TERMO TUNDRA DE 7.5 LITROS;24
TUNDRAC2;COMBO PERSONAL TUNDRA;24
TUNDRAC3;COMBO PLAYERO TUNDRA;12
TUNDRAC1;COMBO VIAJERO TUNDRA;18
KE113OHERA;RUEDA DE PIZZA MANGO ROJO Y CABEZA DE ACERO INOXIDABLE;30
