CÓDIGO;PRODUCTO; PMVP 
EPCK-42941-BK;OLLA DE PRESION ELECTRICA Y ACERO INOX. 6L;56,475
HVC-46818;ASPIRADORA DE MANO KALORIK C/EXT. DE PISO;107,325
43255-SS;COCINA ELECTRICA MARCA KALORIK;31,455
WM-42281-BK;WAFLERA DOBLE EN ACEROINOX C/NEGRO KALORIK;48,402
AS-40763-BK;REBANADORA ESTILO PROFESIONAL NEGRA KALORIK;94,41
EBS-40398-BK;BALANZA DIGITAL KALORI NEGRA CON MEDIDOR DE GRASA CORPORAL;21,555
FHG-43302-SS;PANINI ELÉCTRICA ACERO INOX KALORIK;84,15
HFD-44220-W;DESHIDRATADOR DE ALIMENTOS BLANCO KALORIK;52,02
AFO-46110;HORNO FREIDOR DE 21 LITROS KALORIK;141,75
AFO-46894-BKSS;HORNO FREIDOR DE AIRE DE 12 LTS ACERO INOX.;80,775
AFO-46045-SS;HORNO FREIDOR DE AIRE 25L MULTIFUNCION DIGITAL DISEÑO PUERTAS FRANCESAS;179,1
231;PLATERA DE 3 NIVELES;8,091
235;PORTA CHAMPU YUMBO;5,04
232;PORTA CHAMPU;3,366
233;PESO DE BAÑO DIGITAL SUJOYA GLASS;10,755
223;"CAJA DE HERRAMIENTAS 16""";4,635
225;TALADRO TIPO MARTILLO;45,891
224;REGLETA DE 6 TOMAS;10,773
1516-3400;ORGANIZADOR DE CALZADO;11,25
226;SET DE JARDIN CON BOLSO;7,47
215;COLCHON INFLABLE GRANDE;25,425
217;SILLA DIRECTOR PLEGABLE;12,195
337;TABURETE DE MADERA PLEGABLE;4,68
216;PARRILLERA DOBLE;4,491
221;TABURETE PLEGABLE;5,184
222;PARRILLERA A CARBON CON PATAS;15,93
DELUXE41AQ;CAVA DELUX TUNDRA 41 LITROS TIPO MALETA;53,955
DELUXE41AZ;CAVA DELUX TUNDRA 41 LITROS TIPO MALETA;53,955
DELUXE41G;CAVA DELUX TUNDRA 41 LITROS TIPO MALETA GRIS CON NARANJA;53,955
DELUXE20G;CAVA DELUX TUNDRA 20 LITROS (GRIS);26,01
